Fx,Fy,Fz,Mx,My,Mz
-10.47520686,10.47520686,43.40883147,-5.57338395,5.57338395,-2.719914136
0.943450381,-0.943450381,44.41957488,-8.212175672,8.212175672,2.723357735
14.13313077,-14.13313077,42.16188066,-2.172310235,2.172310235,0.339626403
8.684590493,-8.684590493,43.90893614,-1.384490242,1.384490242,-1.181280785
-1.337361711,1.337361711,45.35737354,-2.366925843,2.366925843,3.063732314
3.756127466,-3.756127466,45.36201972,-2.94499715,2.94499715,0.686685549
-8.022194766,8.022194766,44.66470003,-3.678147892,3.678147892,-1.301520557
-0.678763776,0.678763776,45.47517993,-1.029913109,1.029913109,0.024783778
-0.392010677,0.392010677,45.5424989,-1.369095454,1.369095454,0.07313318
7.846672647,-7.846672647,44.46635412,-1.222600095,1.222600095,-0.409542268
10.08505356,-10.08505356,43.81703342,-2.423630343,2.423630343,-0.824877161
-1.399624728,1.399624728,45.03323274,-2.336523137,2.336523137,10.12303146
2.327809457,-2.327809457,45.67506879,-3.195738968,3.195738968,0.1347079
10.75752726,-10.75752726,43.82808866,-2.942572554,2.942572554,-0.764172878
8.903087214,-8.903087214,44.42470381,-2.940437838,2.940437838,-0.422369035
7.329196208,-7.329196208,44.74678599,-2.91751928,2.91751928,0.276989477
-3.068631884,3.068631884,44.07644395,0.488607036,-0.488607036,1.704532569
-0.33117536,0.33117536,45.76715365,-2.724958537,2.724958537,0.868866297
0.811510463,-0.811510463,45.49926262,-4.399591261,4.399591261,0.703811927
-0.352882185,0.352882185,45.66453947,-1.721390158,1.721390158,0.10292509
-8.246864576,8.246864576,44.28613371,-0.796781502,0.796781502,0.00738996
10.10923089,-10.10923089,43.9625353,-2.018006877,2.018006877,-0.934618457
-1.411854117,1.411854117,45.45032476,-2.634597543,2.634597543,1.463811365
-12.64438156,12.64438156,43.32097282,-4.007787562,4.007787562,0.686026942
-0.828325091,0.828325091,45.32214793,-2.046193328,2.046193328,6.476983734
12.28844185,-12.28844185,43.41298089,-2.436497991,2.436497991,0.070005699
-3.099242404,3.099242404,44.18162303,-0.132815138,0.132815138,1.896501205
12.91494048,-12.91494048,43.00808984,-1.619121499,1.619121499,0.405068681
-0.947593175,0.947593175,45.01240446,-2.720081992,2.720081992,11.56038499
-10.54154736,10.54154736,44.00187554,-3.257865716,3.257865716,-0.696388188
-12.38776838,12.38776838,43.16897261,-3.195665576,3.195665576,0.158956427
-9.128041715,9.128041715,44.43087606,-1.569312658,1.569312658,-0.610341661
-2.885108382,2.885108382,43.56563806,1.959946014,-1.959946014,2.860629039
-0.712239683,0.712239683,45.68238192,-1.437523124,1.437523124,0.064561465
-2.922744329,2.922744329,45.43100611,-2.517848176,2.517848176,-0.222869009
-1.678994843,1.678994843,44.67445142,-2.2549453,2.2549453,-13.94172493
-0.270589647,0.270589647,45.57190543,-3.851026798,3.851026798,0.154860022
8.264396869,-8.264396869,44.62419069,-2.529269075,2.529269075,0.222537706
-7.107022847,7.107022847,44.52449146,-1.264855106,1.264855106,-0.091909824
7.230794989,-7.230794989,44.18002523,-0.037528062,0.037528062,0.464696614
-4.423946838,4.423946838,45.30383949,-2.832383874,2.832383874,-0.498757068
0.204262557,-0.204262557,45.41809935,-4.274469826,4.274469826,1.039344137
8.181701012,-8.181701012,44.13485667,-5.138951576,5.138951576,1.671575371
1.391737041,-1.391737041,45.61564905,-2.620826249,2.620826249,-1.023298783
-2.022369948,2.022369948,44.89222602,-2.158124741,2.158124741,-11.43229934
-0.355085256,0.355085256,45.66513408,-1.963646204,1.963646204,0.211989781
0.793016827,-0.793016827,45.52393404,-4.836366022,4.836366022,1.06303541
-9.788853395,9.788853395,43.74647774,-5.146086006,5.146086006,-1.854557541
-7.182029409,7.182029409,44.79645287,-2.546552455,2.546552455,-1.52701805
-0.944982371,0.944982371,44.82544805,-2.771832668,2.771832668,-11.41102116
-11.30881644,11.30881644,42.94080638,-6.72134044,6.72134044,-1.203833656
-4.193023069,4.193023069,45.32999971,-3.092272209,3.092272209,-1.530600237
5.3795282,-5.3795282,45.22009611,-3.226699417,3.226699417,-0.059484247
-1.957485733,1.957485733,45.64668165,-1.901785576,1.901785576,-0.254867409
-0.718503653,0.718503653,45.74000298,-2.857803288,2.857803288,0.498216615
-0.629267186,0.629267186,45.70884596,-3.125896264,3.125896264,0.421669824
1.719356377,-1.719356377,45.54519628,-3.079259753,3.079259753,0.302963654
-1.619629706,1.619629706,45.34780291,-2.115672343,2.115672343,1.191501232
-10.18348173,10.18348173,43.96835367,-1.470807804,1.470807804,-0.739402401
11.56910171,-11.56910171,42.8009699,-6.289997953,6.289997953,0.949141767
-7.098846536,7.098846536,44.85867529,-2.224773045,2.224773045,0.123394093
-0.81701952,0.81701952,44.7394553,-1.951748438,1.951748438,-13.33680261
-0.357071069,0.357071069,45.66471177,-1.463427525,1.463427525,0.079186811
-1.012627322,1.012627322,44.19710414,-2.483265771,2.483265771,17.21115764
-11.29088121,11.29088121,43.58167219,-0.607555455,0.607555455,-0.596523914
0.578978719,-0.578978719,45.590299,-2.850300567,2.850300567,0.600198905
-1.754984427,1.754984427,45.46972184,-2.634489225,2.634489225,-1.160571111
-0.68923348,0.68923348,45.47579084,-2.740319979,2.740319979,4.292532421
-2.286195596,2.286195596,43.51072756,-1.777308527,1.777308527,-18.17597228
-0.621428168,0.621428168,45.58511791,-2.894279349,2.894279349,0.747788295
0.242536423,-0.242536423,45.21405238,-5.536687815,5.536687815,2.478074885
-3.63545188,3.63545188,45.51170631,-1.294731812,1.294731812,0.196786279
1.66780466,-1.66780466,45.66967885,-1.93107027,1.93107027,0.151700404
-1.196585397,1.196585397,45.26713169,-2.559005905,2.559005905,7.861801992
-0.092608741,0.092608741,45.56783274,-3.091969626,3.091969626,1.016315257
-10.61357435,10.61357435,44.08677626,-3.045641518,3.045641518,-0.80248679
7.231836523,-7.231836523,44.5206848,-1.047100124,1.047100124,-0.737674237
-0.346346273,0.346346273,45.66471116,-1.188652925,1.188652925,0.035540139
3.747141956,-3.747141956,45.30283462,-3.780293014,3.780293014,0.401865242
-1.335089754,1.335089754,45.31105916,-2.294363001,2.294363001,1.210065306
-1.302147782,1.302147782,43.47544349,-10.20478616,10.20478616,3.066098591
-6.515367843,6.515367843,45.02088377,-3.29343644,3.29343644,0.333983935
-0.097543259,0.097543259,45.67178593,-2.675682232,2.675682232,-0.519116519
0.246847604,-0.246847604,45.64609581,-2.876184749,2.876184749,-0.793850214
-8.098786127,8.098786127,44.65583348,-2.348615402,2.348615402,-0.29071696
-0.565907101,0.565907101,45.42470214,-3.576423309,3.576423309,0.137978961
-7.889005262,7.889005262,44.73035403,-2.551986414,2.551986414,-0.66028763
-0.006179963,0.006179963,45.32133738,-1.993190433,1.993190433,-0.331213576
-0.800553443,0.800553443,45.61688957,-1.838762071,1.838762071,1.318235218
-1.165888277,1.165888277,45.42836426,-2.343859806,2.343859806,2.466198103
-1.081705478,1.081705478,44.42760579,-7.988798866,7.988798866,4.15115247
-2.201716874,2.201716874,44.74047227,-0.781756077,0.781756077,1.053975694
-0.291990165,0.291990165,45.75122626,-2.312813004,2.312813004,0.055340647
-11.1117387,11.1117387,43.66782032,-3.085435966,3.085435966,0.339984365
-0.377095621,0.377095621,45.02584214,-2.261173401,2.261173401,-11.43543226
-6.351263771,6.351263771,44.94527673,-4.405940106,4.405940106,-0.967501499
-1.109541415,1.109541415,44.65537558,-2.496610229,2.496610229,14.22144458
-1.141833985,1.141833985,45.54639384,-2.067814352,2.067814352,-2.709859879
4.000138718,-4.000138718,45.30379996,-2.983133814,2.983133814,-0.314363678
-0.504469624,0.504469624,45.76834777,-2.691802968,2.691802968,-0.237275457
-0.790116341,0.790116341,44.82985337,-2.171027518,2.171027518,12.97704532
7.565136969,-7.565136969,44.85740414,-2.269142648,2.269142648,-0.172102047
-8.37540989,8.37540989,44.59724513,-3.657087327,3.657087327,-1.653441126
-1.073539939,1.073539939,45.61920418,-2.106463427,2.106463427,-2.156909528
-0.268774712,0.268774712,45.42296434,-4.391088527,4.391088527,2.760752109
9.181193381,-9.181193381,43.99061347,-4.746826697,4.746826697,1.091107883
-0.902097682,0.902097682,45.45798836,-2.96868792,2.96868792,-0.399946137
-0.690494618,0.690494618,45.67399602,-1.735255016,1.735255016,-0.024224636
10.35961914,-10.35961914,43.70263531,-1.981734304,1.981734304,0.308756211
-1.223558249,1.223558249,45.35519779,-2.691295727,2.691295727,-5.053986964
-0.872817551,0.872817551,45.44492338,-2.441656622,2.441656622,-5.742950217
-0.968598362,0.968598362,45.37830138,-2.465144321,2.465144321,-6.544092825
-1.993966616,1.993966616,45.50438284,-2.572948549,2.572948549,-0.4263823
-6.192141937,6.192141937,44.97365675,-2.384714657,2.384714657,-0.199810044
13.56853826,-13.56853826,42.81324346,-2.044201293,2.044201293,1.015033174
-0.83414776,0.83414776,45.15906164,-2.230204222,2.230204222,8.944963907
2.513157229,-2.513157229,45.4593889,-1.760802212,1.760802212,-0.587084652
-2.449873323,2.449873323,42.91175533,-1.881616101,1.881616101,-20.73317119
11.57432709,-11.57432709,42.75123469,-6.522709691,6.522709691,0.975509259
-0.204446893,0.204446893,45.56933829,-2.580491619,2.580491619,0.947839827
-0.841482258,0.841482258,45.67846318,-2.441147544,2.441147544,0.163467418
-1.512624408,1.512624408,45.60116928,-3.982645271,3.982645271,0.140632487
6.24469266,-6.24469266,45.06513989,-2.280880803,2.280880803,1.230223131
-0.356926239,0.356926239,45.66007816,-1.458198513,1.458198513,0.092382751
-0.858317713,0.858317713,44.81866044,-2.383431129,2.383431129,13.51018963
8.453424862,-8.453424862,43.94057646,0.230252642,-0.230252642,1.299136264
5.882874642,-5.882874642,45.32290966,-2.756667203,2.756667203,0.946894515
-7.810026856,7.810026856,44.68209263,-3.645548309,3.645548309,-1.632278184
2.503315881,-2.503315881,45.3819211,-2.163579657,2.163579657,0.059160083
-14.53731819,14.53731819,42.31309101,-3.551626667,3.551626667,-0.272761499
-0.634389625,0.634389625,45.68152629,-2.474499326,2.474499326,0.833335157
-14.05930248,14.05930248,42.79105365,-3.983387047,3.983387047,0.935056085
-6.197456838,6.197456838,44.94181381,-3.421949259,3.421949259,-2.113491053
-9.736111975,9.736111975,44.28549804,-3.398393555,3.398393555,0.458424908
-7.092282874,7.092282874,44.9629275,-2.490193939,2.490193939,0.311144829
-9.090382834,9.090382834,44.31435935,-2.390263682,2.390263682,-0.275442579
